"main_sound","level","hanja","meaning","radical","strokes","total_strokes","unicode_decimal","unicode_hex","unicode_escape"
"기","1급","羈","[[['굴레', '나그네'], ['기']]]","网","19","24","32648","7F88","U+7F88"
"기","1급","嗜","[[['즐길'], ['기']]]","口","10","13","21980","55DC","U+55DC"
"기","1급","畸","[[['뙈기밭', '불구(不具)'], ['기']]]","田","8","13","30072","7578","U+7578"
"기","특급Ⅱ","磯","[[['여울돌'], ['기']]]","石","12","17","30959","78EF","U+78EF"
"기","특급Ⅱ","埼","[[['갑'], ['기']]]","土","8","11","22524","57FC","U+57FC"
"기","특급Ⅱ","圻","[[['경기(京畿)'], ['기']]]","土","4","7","22331","573B","U+573B"
"기","특급Ⅱ","碁","[[['바둑'], ['기']]]","石","8","13","30849","7881","U+7881"
"기","특급Ⅱ","夔","[[['조심할'], ['기']]]","夊","17","20","22804","5914","U+5914"
"기","특급Ⅱ","璂","[[['피변옥'], ['기']]]","玉","11","15","29826","7482","U+7482"
"기","특급Ⅱ","祁","[[['클'], ['기']]]","示","3","8","31041","7941","U+7941"
"기","특급Ⅱ","祇","[[['지신'], ['기']]]","示","4","9","31047","7947","U+7947"
"기","특급Ⅱ","祺","[[['길할'], ['기']]]","示","8","13","31098","797A","U+797A"
"기","특급Ⅱ","玘","[[['패옥'], ['기']]]","玉","3","7","29592","7398","U+7398"
"기","특급Ⅱ","錡","[[['세발가마'], ['기']]]","金","8","16","37665","9321","U+9321"
"기","특급Ⅱ","錤","[[['호미'], ['기']]]","金","8","16","37668","9324","U+9324"
"기","특급Ⅱ","耭","[[['밭갈'], ['기']]]","耒","12","18","32813","802D","U+802D"
"기","특급Ⅱ","饑","[[['주릴'], ['기']]]","食","12","21","39249","9951","U+9951"
"기","특급","歧","[[['두갈래길'], ['기']]]","止","4","8","27495","6B67","U+6B67"
"기","특급","棊","[[['바둑'], ['기']]]","木","8","12","26826","68CA","U+68CA"
"기","특급","曁","[[['미칠'], ['기']]]","日","12","16","26305","66C1","U+66C1"
"기","특급","暣","[[['볕'], ['기']]]","日","10","14","26275","66A3","U+66A3"
"기","특급","旂","[[['용대기'], ['기']]]","方","6","10","26050","65C2","U+65C2"
"기","특급","覊","[[['굴레', '나그네'], ['기']]]","襾","19","25","35210","898A","U+898A"
"기","특급","跂","[[['육발이', '발돋움할'], ['기']]]","足","4","11","36290","8DC2","U+8DC2"
"기","특급","蘷","[[['조심할'], ['기']]]","艸","16","20","34359","8637","U+8637"
"기","특급","墍","[[['흙바를'], ['기']]]","土","11","14","22669","588D","U+588D"
"기","특급","屺","[[['민둥산'], ['기']]]","山","3","6","23674","5C7A","U+5C7A"
"기","특급","忮","[[['사나울'], ['기']]]","心","4","7","24558","5FEE","U+5FEE"
"기","특급","軝","[[['수레굴통대'], ['기']]]","車","4","11","36573","8EDD","U+8EDD"
"기","특급","頎","[[['헌걸찰'], ['기']]]","頁","4","13","38926","980E","U+980E"
"기","특급","芑","[[['흰차조'], ['기']]]","艸","3","7","33425","8291","U+8291"
"기","특급","掎","[[['당길'], ['기']]]","手","8","11","25486","638E","U+638E"
"기","특급","僛","[[['비틀거려춤출'], ['기']]]","人","12","14","20699","50DB","U+50DB"
"기","특급","羇","[[['굴레', '나그네'], ['기']]]","网","17","22","32647","7F87","U+7F87"
"기","특급","綦","[[['들메끈'], ['기']]]","糸","8","14","32166","7DA6","U+7DA6"
"긴","3급Ⅱ","緊","[[['긴할'], ['긴']]]","糸","8","14","32202","7DCA","U+7DCA"
"길","5급","吉","[[['길할'], ['길']]]","口","3","6","21513","5409","U+5409"
"길","1급","拮","[[['일할'], ['길']]]","手","6","9","25326","62EE","U+62EE"
"길","특급Ⅱ","佶","[[['바를'], ['길']]]","人","6","8","20342","4F76","U+4F76"
"길","특급Ⅱ","桔","[[['도라지'], ['길']]]","木","6","10","26708","6854","U+6854"
"길","특급","姞","[[['삼갈'], ['길']]]","女","6","9","23006","59DE","U+59DE"
"끽","1급","喫","[[['먹을'], ['끽']]]","口","9","12","21931","55AB","U+55AB"
"나","3급","那","[[['어찌'], ['나']]]","邑","4","7","37027","90A3","U+90A3"
"나","1급","拏","[[['잡을'], ['나']]]","手","5","9","25295","62CF","U+62CF"
"나","1급","懦","[[['나약할'], ['나']]]","心","14","17","25062","61E6","U+61E6"
"나","1급","拿","[[['잡을[拏同]'], ['나']]]","手","6","10","25343","62FF","U+62FF"
"나","1급","儺","[[['푸닥거리'], ['나']]]","人","19","21","20794","513A","U+513A"
"나","특급Ⅱ","娜","[[['아리따울'], ['나']]]","女","7","10","23068","5A1C","U+5A1C"
"낙","3급Ⅱ","諾","[[['허락할'], ['낙']]]","言","9","16","35582","8AFE","U+8AFE"
"난","4급Ⅱ","暖","[[['따뜻할'], ['난']]]","日","9","13","26262","6696","U+6696"
"난","4급Ⅱ","難","[[['어려울'], ['난']]]","隹","11","19","38627","96E3","U+96E3"
"난","1급","煖","[[['더울'], ['난']]]","火","9","13","29014","7156","U+7156"
"난","특급","戁","[[['두려워할'], ['난']]]","心","19","23","25089","6201","U+6201"
"난","특급","赧","[[['부끄러울'], ['난']]]","赤","5","12","36199","8D67","U+8D67"
"날","1급","捏","[[['꾸밀'], ['날']]]","手","7","10","25423","634F","U+634F"
"날","1급","捺","[[['누를'], ['날']]]","手","8","11","25466","637A","U+637A"
"날","특급","陧","[[['위태할'], ['날']]]","阜","7","10","38503","9667","U+9667"
"남","8급","南","[[['남녘'], ['남']]]","十","7","9","21335","5357","U+5357"
"남","7급Ⅱ","男","[[['사내'], ['남']]]","田","2","7","30007","7537","U+7537"
"남","특급Ⅱ","楠","[[['녹나무'], ['남']]]","木","9","13","26976","6960","U+6960"
"남","특급Ⅱ","枏","[[['녹나무'], ['남']]]","木","4","8","26511","678F","U+678F"
"남","특급Ⅱ","湳","[[['물이름'], ['남']]]","水","9","12","28275","6E73","U+6E73"
"납","4급","納","[[['들일'], ['납']]]","糸","4","10","32013","7D0D","U+7D0D"
"납","1급","衲","[[['기울[縫]'], ['납']]]","衣","4","9","34930","8872","U+8872"
"납","특급","軜","[[['고삐'], ['납']]]","車","4","11","36572","8EDC","U+8EDC"
"낭","3급Ⅱ","娘","[[['계집'], ['낭']]]","女","7","10","23064","5A18","U+5A18"
"낭","1급","囊","[[['주머니'], ['낭']]]","口","19","22","22218","56CA","U+56CA"
"낭","특급","曩","[[['지난번'], ['낭']]]","日","17","21","26345","66E9","U+66E9"
"내","7급Ⅱ","內","[[['안'], ['내']]]","入","2","4","20839","5167","U+5167"
"내","3급Ⅱ","耐","[[['견딜'], ['내']]]","而","3","9","32784","8010","U+8010"
"내","3급","奈","[[['어찌'], ['내']]]","大","5","8","22856","5948","U+5948"
"내","3급","乃","[[['이에'], ['내']]]","丿","1","2","20035","4E43","U+4E43"
"내","특급Ⅱ","柰","[[['사과', '어찌'], ['내']]]","木","5","9","26608","67F0","U+67F0"
"내","특급","鼐","[[['큰솥'], ['내']]]","鼎","2","15","40720","9F10","U+9F10"
"내","특급","迺","[[['이에'], ['내']]]","辵","6","10","36858","8FFA","U+8FFA"
"녀","8급","女","[[['계집'], ['녀']]]","女","0","3","22899","5973","U+5973"
"년","8급","年","[[['해'], ['년']]]","干","3","6","24180","5E74","U+5E74"
"년","1급","撚","[[['비빌'], ['년']]]","手","12","15","25754","649A","U+649A"
"년","특급Ⅱ","秊","[[['해[年]'], ['년']]]","禾","3","8","31178","79CA","U+79CA"
"녈","1급","涅","[[['열반(涅槃)'], ['녈']]]","水","7","10","28037","6D85","U+6D85"
